city,AQI,PM2.5/h,PM10/h,co/h,No2/h,O3/h,O3/8h,SO2/h
阿坝州,25,8,15,0.43,8,42,49,6
阿克苏地区,103,44,153,0.3,16,105,82,3
阿拉善盟,47,17,26,0.37,12,83,93,8
阿勒泰地区,29,3,13,0.6,11,58,56,14
阿里地区,49,8,30,0.25,5,102,97,3
安康,38,25,37,0.63,20,74,53,6
安庆,105,54,64,0.74,19,158,164,10
鞍山,50,19,49,0.81,38,35,60,12
安顺,66,47,66,0.95,33,51,62,14
安阳,80,38,107,0.98,52,72,95,16
白城,38,11,37,0.3,11,39,58,6
百色,81,45,78,0.9,31,109,136,13
白山,42,13,41,0.8,20,55,63,12
白银,51,22,50,0.65,21,83,87,10
保定,61,24,69,0.55,46,58,87,10
宝鸡,66,33,80,0.7,56,42,58,5
保山,35,10,26,0.5,12,58,69,7
包头,34,6,24,0.43,34,52,66,11
巴彦淖尔,53,16,54,0.43,25,58,81,5
巴中,21,9,12,0.55,17,50,40,4
北海,128,37,76,1.0,22,153,189,10
北京,50,12,49,0.41,47,30,63,2
蚌埠,141,66,134,0.87,41,128,204,18
本溪,52,24,52,0.73,37,27,50,14
毕节,20,14,19,0.85,22,29,37,11
滨州,62,26,72,0.97,66,69,86,13
博州,54,18,56,0.2,13,93,87,6
亳州,126,51,122,1.0,32,147,187,9
沧州,71,39,89,0.57,78,41,91,7
长春,47,13,46,0.54,39,27,50,5
常德,121,88,155,1.1,50,129,181,26
昌都,40,11,23,0.7,13,81,78,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,38,14,37,0.87,23,84,72,10
长沙,146,58,103,0.74,40,187,209,13
常熟,95,40,74,0.65,32,107,152,13
长治,47,17,39,0.52,28,71,92,10
常州,60,39,65,0.81,44,67,110,14
朝阳,50,16,49,0.8,40,38,66,15
潮州,115,54,76,0.93,20,157,175,27
承德,34,13,29,0.5,34,36,66,5
成都,35,22,34,0.53,27,56,60,5
郴州,110,34,60,0.96,52,104,169,15
赤峰,45,10,44,0.6,24,41,52,5
池州,103,76,115,0.87,33,142,152,15
重庆,49,34,48,1.07,57,10,14,5
崇左,105,46,93,0.8,30,146,164,13
楚雄州,30,15,23,0.65,7,50,59,9
滁州,138,67,127,0.87,30,154,200,11
大连,38,8,33,0.54,23,70,75,5
大理州,43,6,42,0.7,24,53,80,5
丹东,54,22,55,0.88,42,34,65,16
大庆,39,11,38,0.4,14,43,56,5
大同,34,7,30,0.72,32,52,66,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,29,9,28,0.7,31,7,35,16
达州,46,31,45,0.58,31,70,59,6
德宏州,29,13,21,0.7,16,41,57,12
德阳,29,13,28,0.45,14,59,52,4
德州,66,30,80,0.53,56,62,97,7
定西,53,18,53,0.3,27,75,91,4
迪庆州,45,0,12,0.4,6,90,89,19
东莞,100,53,66,0.63,52,109,158,9
东营,54,13,56,0.45,55,53,87,9
鄂尔多斯,38,7,13,0.62,32,52,75,6
恩施州,49,21,48,0.7,20,45,45,6
鄂州,137,47,76,1.1,51,153,199,10
防城港,105,52,75,0.97,19,170,164,11
佛山,144,45,74,0.7,37,163,207,12
抚顺,59,30,65,0.67,57,26,57,26
阜新,57,24,61,0.5,46,24,57,10
阜阳,153,83,160,1.2,55,160,217,18
富阳,79,28,56,0.8,28,116,133,9
福州,114,30,54,0.57,17,153,174,7
抚州,121,40,68,0.96,16,169,181,17
甘南州,46,18,32,0.8,20,82,90,9
赣州,105,28,53,0.98,32,125,164,9
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,35,13,15,0.45,7,68,69,7
广安,40,26,39,0.74,36,29,37,3
广元,22,11,17,0.63,22,61,43,10
广州,111,49,66,0.74,47,129,170,9
贵港,127,52,88,0.85,26,171,188,23
桂林,128,63,91,0.8,28,153,189,13
贵阳,67,45,81,0.54,29,65,70,7
果洛州,49,8,13,0.2,6,93,96,8
固原,59,19,65,0.57,32,80,90,8
哈尔滨,57,9,61,0.44,16,56,57,5
海北州,24,5,19,0.4,7,45,46,12
海东地区,0,0,0,0.0,0,0,0,0
海口,110,30,46,0.58,7,134,169,5
海门,59,25,52,0.63,16,90,109,25
海南州,50,14,29,0.6,13,89,99,10
海西州,54,4,8,0.6,12,100,103,8
哈密地区,37,17,36,0.4,17,39,48,3
邯郸,79,31,105,0.73,65,64,102,11
杭州,105,28,54,0.76,42,109,164,9
汉中,35,23,31,0.55,14,89,68,4
鹤壁,89,36,125,0.87,65,69,96,18
河池,83,52,66,0.9,21,109,138,8
合肥,155,73,139,1.26,52,186,219,15
鹤岗,32,22,27,0.53,26,35,59,10
黑河,39,17,38,0.5,32,18,43,16
衡水,70,29,88,0.63,36,64,95,5
衡阳,121,71,104,0.97,46,151,181,18
和田地区,71,23,90,0.3,8,68,66,4
河源,89,66,60,1.1,44,69,127,6
菏泽,111,58,170,1.07,59,71,97,13
贺州,107,48,68,1.45,39,112,166,16
红河州,67,48,60,0.67,18,76,87,11
淮安,62,33,71,0.58,22,85,107,8
淮北,86,53,110,0.8,45,117,141,12
怀化,79,54,94,1.2,16,118,133,6
淮南,157,99,177,1.23,45,168,221,19
黄冈,141,47,81,0.95,44,162,203,16
黄南州,58,18,64,0.9,17,75,84,14
黄山,58,28,64,0.73,28,69,106,8
黄石,120,44,68,0.82,25,159,180,11
呼和浩特,49,20,48,0.83,38,49,60,14
惠州,98,41,66,0.68,25,137,156,8
葫芦岛,45,19,44,0.78,47,29,64,12
呼伦贝尔,25,14,24,0.3,14,39,39,3
湖州,91,63,97,1.09,70,122,147,18
佳木斯,29,9,28,0.36,17,43,53,3
吉安,133,50,93,0.75,38,155,195,18
江门,180,48,71,1.15,31,208,244,8
江阴,84,45,83,1.3,31,98,139,20
胶南,50,10,47,0.4,25,94,99,9
胶州,61,23,69,0.55,66,30,78,6
焦作,89,48,125,0.95,42,104,118,12
嘉兴,102,29,49,0.6,27,120,161,7
嘉峪关,54,22,56,0.95,29,80,84,29
揭阳,116,39,81,0.93,19,145,176,10
吉林,54,22,55,0.53,31,41,59,7
即墨,63,23,74,0.5,71,28,68,6
济南,74,26,96,0.74,84,32,75,10
金昌,45,9,18,0.27,11,83,88,6
晋城,91,57,129,1.05,39,125,121,27
景德镇,88,31,58,0.7,31,87,144,27
荆门,98,57,120,0.98,41,138,156,15
荆州,111,54,101,1.37,55,145,170,16
金华,119,40,63,0.6,32,132,179,19
济宁,69,28,86,0.8,46,64,90,18
金坛,125,81,110,1.0,37,121,186,13
晋中,60,27,68,1.5,73,32,75,19
锦州,53,14,53,0.7,47,28,63,15
九江,121,40,92,0.73,36,136,181,13
酒泉,46,10,32,0.45,16,90,90,7
鸡西,77,37,101,0.73,39,11,37,7
句容,114,82,176,0.95,74,77,159,17
开封,99,69,146,1.27,70,77,96,28
喀什地区,113,50,173,0.35,19,112,84,10
克拉玛依,47,9,46,0.64,24,74,72,7
克州,94,36,135,0.7,4,98,94,3
库尔勒,57,23,62,0.27,10,69,67,4
昆明,30,16,25,0.67,31,44,58,6
昆山,121,30,62,0.7,20,119,181,10
来宾,110,57,84,0.75,14,158,169,10
莱芜,68,32,84,0.87,54,67,90,23
莱西,47,14,46,0.45,22,70,87,6
莱州,41,13,38,0.9,60,27,80,9
廊坊,53,22,53,0.57,71,25,70,4
兰州,68,28,84,0.92,46,60,81,10
拉萨,54,6,31,0.3,10,106,103,4
乐山,35,22,34,0.55,26,59,41,4
凉山州,45,29,44,0.72,14,50,66,7
连云港,48,13,33,0.48,24,87,94,10
聊城,74,30,96,1.07,68,61,101,14
辽阳,58,20,63,0.73,45,29,55,19
辽源,33,13,21,0.7,27,53,65,7
丽江,36,10,19,0.67,14,65,70,8
临安,106,79,147,0.9,76,101,150,8
临沧,28,13,22,0.65,13,47,54,8
临汾,73,43,93,1.27,47,80,81,22
临夏州,63,37,74,0.85,17,81,94,18
临沂,66,20,79,0.53,44,61,81,10
林芝,53,6,15,0.25,4,98,102,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,103,38,74,0.7,19,136,162,7
六盘水,38,24,37,0.82,34,41,50,10
柳州,117,61,101,1.18,31,147,177,24
溧阳,183,95,129,1.7,46,224,247,10
